Index,Prediction,Actual,Explanation
277,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, ZipCode, Ethnicity, Married, PriorDefault."
90,Approved,Denied,"This application was approved due to YearsEmployed, Income, Debt, Citizen, BankCustomer."
668,Denied,Denied,"This application was denied due to YearsEmployed, ZipCode, Employed, CreditScore, Citizen, Debt, Ethnicity, Age, BankCustomer, PriorDefault."
10,Denied,Approved,"This application was denied due to Employed, CreditScore, Debt, Ethnicity, Industry, ZipCode, PriorDefault."
63,Approved,Approved,"This application was approved due to ZipCode, Income, YearsEmployed, Employed, Industry, Citizen, Age, Ethnicity, BankCustomer."
381,Denied,Denied,"This application was denied due to YearsEmployed, ZipCode, Employed, CreditScore, Industry, Married, PriorDefault."
576,Approved,Approved,"This application was approved due to Income, CreditScore, ZipCode, YearsEmployed, Employed, Citizen, Ethnicity, PriorDefault, BankCustomer."
342,Denied,Denied,"This application was denied due to Employed, YearsEmployed, CreditScore, Industry, Debt, ZipCode, Ethnicity."
549,Approved,Approved,"This application was approved due to YearsEmployed, Income, Debt, Ethnicity, BankCustomer, PriorDefault."
658,Denied,Denied,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Debt, Industry, ZipCode."
31,Approved,Approved,"This application was approved due to YearsEmployed, ZipCode, Income, CreditScore, Employed, Industry, Citizen, Debt, Married."
220,Approved,Approved,"This application was approved due to CreditScore, YearsEmployed, Income, Employed, Debt, Citizen, Ethnicity, Married, Age."
499,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Citizen, Debt, Ethnicity, Age, PriorDefault, Married."
77,Denied,Denied,"This application was denied due to ZipCode, Employed, YearsEmployed, CreditScore, Industry, Debt, BankCustomer, Married."
606,Denied,Approved,"This application was denied due to YearsEmployed, Employed, CreditScore, Debt, Industry."
569,Approved,Approved,"This application was approved due to Income, ZipCode, CreditScore, Employed, Citizen, Ethnicity, BankCustomer, Married."
210,Approved,Approved,"This application was approved due to YearsEmployed, CreditScore, Income, Employed, Citizen, Debt, BankCustomer."
55,Denied,Approved,"This application was denied due to Income, ZipCode, Employed, YearsEmployed, CreditScore, Married."
135,Approved,Approved,"This application was approved due to YearsEmployed, Income, Industry, Citizen, Debt, BankCustomer, PriorDefault."
310,Denied,Denied,"This application was denied due to Income, Employed, YearsEmployed, CreditScore, ZipCode, BankCustomer, PriorDefault."
227,Denied,Approved,"This application was denied due to ZipCode, Employed, CreditScore, Age, Married, PriorDefault."
2,Approved,Approved,"This application was approved due to Income, YearsEmployed, Industry, Citizen, Married, Age, PriorDefault."
452,Denied,Denied,"This application was denied due to Income, Employed, CreditScore, Age, ZipCode, Married, PriorDefault, BankCustomer."
81,Denied,Denied,"This application was denied due to Employed, CreditScore, Citizen, Industry, Debt, ZipCode."
302,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Citizen, Debt, Industry, ZipCode, Married, BankCustomer."
685,Denied,Denied,"This application was denied due to Employed, CreditScore, Industry, ZipCode, Married, Ethnicity, PriorDefault."
320,Denied,Approved,"This application was denied due to Income, ZipCode, Employed, CreditScore, Debt, Married, PriorDefault."
595,Denied,Approved,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Debt, ZipCode, Ethnicity, Industry, Married."
120,Approved,Approved,"This application was approved due to Employed, Industry, Citizen, Debt, Ethnicity, BankCustomer."
671,Denied,Denied,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Married, PriorDefault."
247,Approved,Approved,"This application was approved due to CreditScore, Employed, Industry, Citizen, Age, PriorDefault."
554,Approved,Approved,"This application was approved due to ZipCode, CreditScore, Employed, Industry, Debt, Citizen, PriorDefault."
677,Denied,Denied,"This application was denied due to Income, YearsEmployed, Industry, CreditScore, ZipCode, BankCustomer."
616,Denied,Denied,"This application was denied due to Income, Debt, Industry, CreditScore, ZipCode."
131,Approved,Approved,"This application was approved due to YearsEmployed, Employed, Citizen, Ethnicity, Age, BankCustomer."
360,Denied,Denied,"This application was denied due to Employed, CreditScore, Citizen, ZipCode, Industry, Age, PriorDefault."
60,Approved,Approved,"This application was approved due to CreditScore, YearsEmployed, Income, Employed, Debt, Citizen, Ethnicity, BankCustomer, Married, PriorDefault."
148,Approved,Approved,"This application was approved due to Income, YearsEmployed, ZipCode, CreditScore, Employed, Citizen, Debt, Married."
30,Approved,Approved,"This application was approved due to YearsEmployed, Income, CreditScore, Employed, Debt, Citizen, Ethnicity."
69,Approved,Approved,"This application was approved due to Income, YearsEmployed, Employed, Industry, Debt, Citizen, BankCustomer."
493,Approved,Approved,"This application was approved due to YearsEmployed, Income, Citizen, Debt, Age, Married."
223,Approved,Approved,"This application was approved due to Income, Debt, Citizen, Ethnicity, Age, PriorDefault, Married."
44,Approved,Approved,"This application was approved due to ZipCode, YearsEmployed, CreditScore, Employed, Debt, Citizen, Ethnicity, PriorDefault."
527,Approved,Denied,"This application was approved due to Income, Citizen, PriorDefault."
70,Denied,Denied,"This application was denied due to Employed, CreditScore, Citizen, Industry, Age, ZipCode, Ethnicity, BankCustomer."
182,Approved,Approved,"This application was approved due to CreditScore, Employed, Industry, Debt, Citizen, Ethnicity, Married, PriorDefault."
164,Approved,Approved,"This application was approved due to Income, YearsEmployed, ZipCode, Industry, Debt, Citizen, Ethnicity, BankCustomer, PriorDefault."
526,Denied,Denied,"This application was denied due to ZipCode, YearsEmployed, Employed, CreditScore, Debt, Industry, PriorDefault, Married, BankCustomer, Age."
356,Denied,Denied,"This application was denied due to YearsEmployed, ZipCode, Employed, CreditScore, Debt, Age."
655,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Married, PriorDefault."
405,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Citizen, Married, PriorDefault, BankCustomer, Age, Industry."
321,Denied,Approved,"This application was denied due to Employed, CreditScore, Citizen, Debt, ZipCode."
248,Approved,Approved,"This application was approved due to Income, YearsEmployed, Employed, Debt, Age, Citizen, Married, PriorDefault."
536,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Debt, ZipCode, PriorDefault, Married."
65,Approved,Approved,"This application was approved due to Income, YearsEmployed, Employed, Citizen, PriorDefault, Ethnicity, Married, Industry."
525,Approved,Denied,"This application was approved due to YearsEmployed, Income, Citizen, Ethnicity, PriorDefault."
49,Denied,Approved,"This application was denied due to YearsEmployed, Employed, CreditScore, Debt, ZipCode, Industry, BankCustomer."
118,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Debt, Married, Citizen, Ethnicity, PriorDefault, BankCustomer."
264,Denied,Denied,"This application was denied due to YearsEmployed, Employed, ZipCode, CreditScore, Debt, Age, Married."
39,Approved,Approved,"This application was approved due to YearsEmployed, ZipCode, CreditScore, Employed, Debt, Citizen, Industry, Ethnicity, Married."
617,Denied,Denied,"This application was denied due to Income, YearsEmployed, ZipCode, CreditScore, Age, Married."
192,Approved,Approved,"This application was approved due to Income, YearsEmployed, Industry, Citizen, BankCustomer, Ethnicity, PriorDefault, Age."
6,Approved,Approved,"This application was approved due to Income, YearsEmployed, Industry, Citizen, BankCustomer, PriorDefault."
101,Approved,Denied,"This application was approved due to YearsEmployed, Income, Citizen, Debt, Ethnicity, BankCustomer, Married, PriorDefault."
155,Approved,Approved,"This application was approved due to ZipCode, CreditScore, Income, Employed, Industry, Debt, Citizen, Ethnicity, PriorDefault."
296,Denied,Denied,"This application was denied due to Income, CreditScore, ZipCode, Age."
231,Approved,Approved,"This application was approved due to Income, YearsEmployed, Employed, Industry, Citizen, Debt, Married, BankCustomer, Ethnicity, PriorDefault."
199,Approved,Approved,"This application was approved due to Income, CreditScore, ZipCode, Employed, Industry, Debt, Citizen, Ethnicity, PriorDefault, Age."
284,Denied,Denied,"This application was denied due to YearsEmployed, CreditScore, Industry."
145,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, Employed, Citizen, Industry, Married."
341,Denied,Denied,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, Industry, Age, ZipCode, PriorDefault, BankCustomer."
361,Denied,Denied,"This application was denied due to YearsEmployed, Employed, CreditScore, Debt, BankCustomer, PriorDefault, ZipCode."
213,Approved,Approved,"This application was approved due to Income, YearsEmployed, CreditScore, ZipCode, Employed, Citizen, Debt, Age, Ethnicity, BankCustomer, PriorDefault."
686,Denied,Denied,"This application was denied due to ZipCode, CreditScore, Debt, Industry."
669,Denied,Denied,"This application was denied due to Income, Employed, CreditScore, Debt, ZipCode, Married, Age, PriorDefault, BankCustomer."
86,Approved,Denied,"This application was approved due to Income, Industry, Ethnicity, Age, BankCustomer."
354,Denied,Denied,"This application was denied due to ZipCode, YearsEmployed, Employed, CreditScore, Debt, Industry, Age, PriorDefault, BankCustomer, Married."
611,Denied,Denied,"This application was denied due to Income, CreditScore, ZipCode, PriorDefault, Ethnicity, BankCustomer."
556,Approved,Approved,"This application was approved due to YearsEmployed, Income, Employed, Citizen, Debt, Ethnicity, Married, Industry, PriorDefault."
41,Approved,Approved,"This application was approved due to Income, YearsEmployed, ZipCode, CreditScore, Employed, Debt, Citizen."
108,Approved,Denied,"This application was approved due to YearsEmployed, Income, Industry, Citizen, Married."
639,Denied,Denied,"This application was denied due to ZipCode, Employed, CreditScore, Debt, Industry, Married, Age, BankCustomer."
56,Approved,Approved,"This application was approved due to ZipCode, Income, Ethnicity, Citizen, Industry, Age."
333,Denied,Denied,"This application was denied due to ZipCode, Employed, YearsEmployed, CreditScore, PriorDefault, BankCustomer."
507,Approved,Approved,"This application was approved due to Income, ZipCode, CreditScore, YearsEmployed, Employed, Industry, Citizen, Debt, Age, Married, PriorDefault."
24,Approved,Approved,"This application was approved due to CreditScore, Income, Employed, Industry, Citizen, Debt, Ethnicity, PriorDefault, Married."
158,Approved,Approved,"This application was approved due to YearsEmployed, Income, Employed, Citizen, Age, Married."
518,Approved,Approved,"This application was approved due to CreditScore, Income, Employed, Industry, Citizen, Ethnicity, Age."
