Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Reason
1,57.42,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, Citizen, Debt, Age."
1,42.08,1.04,1,1,Industrials,White,5.0,1,1,6,1,ByBirth,500,10000,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Industry, Ethnicity, PriorDefault."
1,29.25,14.79,1,1,ConsumerStaples,White,5.04,1,1,5,1,ByBirth,168,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Debt, Ethnicity."
1,42.0,9.79,1,1,Utilities,Black,7.96,1,1,8,0,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Industry, Citizen, Debt, PriorDefault."
1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,0,5000,1,"This application was approved due to Income, YearsEmployed, ZipCode, Employed, CreditScore, Citizen, Debt."
0,36.75,5.125,1,1,Education,White,5.0,1,0,0,1,ByBirth,0,4000,1,"This application was approved due to Income, YearsEmployed, ZipCode, Citizen, Debt, Ethnicity, PriorDefault."
0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560,1,"This application was approved due to Income, Employed, ZipCode, CreditScore, Industry, Citizen, Ethnicity, Debt."
1,27.83,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,434,35,1,"This application was approved due to YearsEmployed, Employed, CreditScore, Citizen, Ethnicity, Age, Industry, PriorDefault, ZipCode."
1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,583,713,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Age, Industry."
0,23.0,11.75,1,1,Utilities,Black,0.5,1,1,2,1,ByBirth,300,551,1,"This application was approved due to Income, Employed, Industry, Citizen, ZipCode, Debt, PriorDefault, Age."
1,27.75,0.585,0,0,InformationTechnology,White,0.25,1,1,2,0,ByBirth,260,500,1,"This application was approved due to Income, Employed, Citizen, Age, Ethnicity, PriorDefault, Industry."
1,54.58,9.415,1,1,Healthcare,Latino,14.415,1,1,11,1,ByBirth,30,300,1,"This application was approved due to YearsEmployed, Employed, CreditScore, ZipCode, Citizen, Ethnicity, Debt, Industry, PriorDefault."
1,34.17,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,0,221,1,"This application was approved due to YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Ethnicity, Debt."
1,28.92,15.0,1,1,Energy,Black,5.335,1,1,11,0,ByBirth,0,2283,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Debt."
1,29.67,1.415,1,1,Industrials,Black,0.75,1,1,1,0,ByBirth,240,100,1,"This application was approved due to Employed, Citizen, PriorDefault, Industry."
1,39.58,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,70,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Industry, Debt, Ethnicity."
1,56.42,28.0,0,0,Energy,White,28.5,1,1,40,0,ByBirth,0,15,1,"This application was approved due to YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Ethnicity, Debt, PriorDefault."
1,54.33,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth,0,284,1,"This application was approved due to Employed, YearsEmployed, ZipCode, CreditScore, Debt, Citizen, PriorDefault."
0,41.0,2.04,0,0,Materials,Black,0.125,1,1,23,1,ByBirth,455,1236,1,"This application was approved due to Income, Employed, CreditScore, Industry, Citizen, PriorDefault."
1,31.92,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth,311,300,1,"This application was approved due to YearsEmployed, Employed, Citizen, Debt, ZipCode, PriorDefault, Industry."
1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,216,0,1,"This application was denied due to Employed, ZipCode, Industry, CreditScore, Debt, Ethnicity, Age."
1,23.92,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth,100,0,1,"This application was denied due to YearsEmployed, Employed, CreditScore, ZipCode, Debt, Industry, PriorDefault."
0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,491,0,1,"This application was approved due to Income, Citizen, Age."
1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,280,0,1,"This application was approved due to Income, YearsEmployed, Industry, Citizen, Ethnicity, Age, ZipCode."
1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,400,5800,1,"This application was approved due to Income, Citizen, ZipCode, PriorDefault, Ethnicity."
1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,239,200,1,"This application was denied due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Debt, Age, PriorDefault."
1,34.25,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, ZipCode, Debt, Citizen, Industry, Age, PriorDefault."
1,23.33,11.625,0,0,Industrials,White,0.835,1,0,0,1,ByBirth,160,300,1,"This application was denied due to Income, Employed, YearsEmployed, CreditScore, ZipCode, PriorDefault."
1,23.17,0.0,1,1,InformationTechnology,White,0.085,1,0,0,0,ByBirth,0,0,1,"This application was approved due to Income, ZipCode, Citizen, Ethnicity, Industry, Age."
1,44.33,0.5,1,1,ConsumerDiscretionary,Black,5.0,1,0,0,1,ByBirth,320,0,1,"This application was approved due to Income, YearsEmployed, Citizen, PriorDefault, ZipCode."
1,35.17,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans,711,0,1,"This application was approved due to Income, YearsEmployed, Industry, Debt, PriorDefault, ZipCode."
1,43.25,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth,80,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Industry, Debt, Citizen."
1,56.75,12.25,1,1,CommunicationServices,White,1.25,1,1,4,1,ByBirth,200,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Ethnicity, Debt."
1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,250,730,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Industry, Citizen, Ethnicity, Debt."
0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,80,400,1,"This application was approved due to Income, YearsEmployed, Employed, Industry, Citizen, Ethnicity, Age, PriorDefault."
0,20.42,0.835,1,1,Materials,White,1.585,1,1,1,0,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, Industry, Citizen, Ethnicity, PriorDefault."
1,26.67,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth,120,0,1,"This application was approved due to Income, YearsEmployed, Employed, Citizen, Debt, Age, Ethnicity, PriorDefault, Industry."
1,34.17,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth,520,50000,1,"This application was approved due to Income, YearsEmployed, Employed, Citizen, Ethnicity, ZipCode."
0,36.0,1.0,1,1,Energy,White,2.0,1,1,11,0,ByBirth,0,456,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Ethnicity."
1,25.5,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth,260,15108,1,"This application was approved due to Income, Employed, Citizen, Ethnicity, Age."
1,19.42,6.5,1,1,Industrials,Black,1.46,1,1,7,0,ByBirth,80,2954,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Debt, Industry, Age, PriorDefault."
1,35.17,25.125,1,1,Utilities,Black,1.625,1,1,1,1,ByBirth,515,500,1,"This application was approved due to Income, YearsEmployed, Employed, Industry, Citizen, Debt, ZipCode."
1,32.33,7.5,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans,420,0,0,"This application was denied due to Employed, Industry, CreditScore, Citizen, Ethnicity, ZipCode, Age."
1,34.83,4.0,1,1,Real Estate,Asian,12.5,1,0,0,1,ByBirth,0,0,0,"This application was approved due to Income, YearsEmployed, ZipCode, Industry, Citizen, Debt, Age."
0,38.58,5.0,1,1,InformationTechnology,White,13.5,1,0,0,1,ByBirth,980,0,0,"This application was approved due to Income, YearsEmployed, Debt, Citizen, Ethnicity, Industry."
1,44.25,0.5,1,1,CommunicationServices,White,10.75,1,0,0,0,ByOtherMeans,400,0,0,"This application was denied due to Employed, Citizen, Industry, CreditScore, Debt, Age, ZipCode."
1,44.83,7.0,0,0,Energy,White,1.625,0,0,0,0,ByBirth,160,2,0,"This application was denied due to Income, Employed, ZipCode, CreditScore, Industry, Age."
1,20.67,5.29,1,1,Materials,White,0.375,1,1,1,0,ByBirth,160,0,0,"This application was denied due to YearsEmployed, ZipCode, CreditScore, PriorDefault."
1,34.08,6.5,1,1,ConsumerStaples,White,0.125,1,0,0,1,ByBirth,443,0,0,"This application was approved due to Income, Citizen, Debt, Ethnicity, PriorDefault."
0,19.17,0.585,0,0,ConsumerStaples,White,0.585,1,0,0,1,ByBirth,160,0,0,"This application was denied due to Employed, YearsEmployed, Industry, ZipCode, Debt, CreditScore."
1,21.67,1.165,0,0,Financials,White,2.5,1,1,1,0,ByBirth,180,20,0,"This application was denied due to Income, ZipCode, Industry, CreditScore, Debt, Age, PriorDefault."
1,21.5,9.75,1,1,Energy,White,0.25,1,0,0,0,ByBirth,140,0,0,"This application was approved due to Income, Citizen, Ethnicity, Debt, Age."
1,49.58,19.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,94,0,0,"This application was denied due to YearsEmployed, ZipCode, CreditScore, Age."
0,27.67,1.5,1,1,CommunicationServices,White,2.0,1,0,0,0,ByOtherMeans,368,0,0,"This application was denied due to Employed, Citizen, Industry, CreditScore, Debt."
1,39.83,0.5,1,1,CommunicationServices,White,0.25,1,0,0,0,ByOtherMeans,288,0,0,"This application was denied due to Employed, YearsEmployed, Industry, Citizen, CreditScore, Debt, Age, ZipCode."
0,28.46,3.5,1,1,Real Estate,White,3.0,1,0,0,1,ByBirth,300,0,0,"This application was approved due to Income, YearsEmployed, Industry, Debt, Citizen, Age, Ethnicity."
1,27.25,0.625,1,1,ConsumerStaples,White,0.455,1,0,0,1,ByBirth,200,0,0,"This application was denied due to Employed, YearsEmployed, ZipCode, Debt, Industry, CreditScore."
1,37.17,4.0,1,1,Energy,Asian,5.0,1,0,0,1,ByOtherMeans,280,0,0,"This application was denied due to Employed, CreditScore, Citizen, Industry, Age, Ethnicity, ZipCode, PriorDefault."
1,28.46,0.375,1,1,Real Estate,White,0.875,1,0,0,1,ByOtherMeans,928,0,0,"This application was approved due to Income, Industry, Ethnicity, Age."
1,25.67,2.21,0,0,ConsumerStaples,White,4.0,1,0,0,0,ByBirth,188,0,0,"This application was approved due to Income, YearsEmployed, Citizen, Ethnicity, Age."
1,34.0,4.5,1,1,ConsumerStaples,White,1.0,1,0,0,1,ByBirth,240,0,0,"This application was denied due to Employed, YearsEmployed, ZipCode, Industry, CreditScore, Age."
0,49.0,1.5,1,1,Research,Other,0.0,1,0,0,1,ByBirth,100,27,0,"This application was denied due to Income, YearsEmployed, Employed, CreditScore, ZipCode, Debt, Age, PriorDefault."
1,62.5,12.75,0,0,Energy,Black,5.0,1,0,0,0,ByBirth,112,0,0,"This application was approved due to Income, YearsEmployed, Citizen, Debt."
1,31.42,15.5,1,1,Energy,White,0.5,1,0,0,0,ByBirth,120,0,0,"This application was denied due to Employed, YearsEmployed, CreditScore, ZipCode, Industry, Age."
1,28.46,5.0,0,0,ConsumerStaples,White,8.5,1,0,0,0,ByBirth,0,0,0,"This application was denied due to Employed, Industry, CreditScore, PriorDefault."
1,52.33,1.375,0,0,Energy,Black,9.46,1,0,0,1,ByBirth,200,100,0,"This application was denied due to Income, Employed, ZipCode, CreditScore, Debt, Age, Industry, Ethnicity."
1,28.75,1.5,0,0,Energy,White,1.5,1,0,0,1,ByBirth,0,225,0,"This application was denied due to Income, Employed, CreditScore, Debt, Industry, Age, PriorDefault."
0,28.58,3.54,1,1,ConsumerDiscretionary,Asian,0.5,1,0,0,1,ByBirth,171,0,0,"This application was denied due to Employed, YearsEmployed, ZipCode, Industry, CreditScore, Age, Ethnicity."
1,23.0,0.625,0,0,ConsumerStaples,White,0.125,1,0,0,0,ByBirth,180,1,0,"This application was denied due to Income, YearsEmployed, Employed, ZipCode, Industry, Debt, CreditScore."
1,28.46,0.5,1,1,Energy,Asian,0.835,1,0,0,1,ByOtherMeans,320,0,0,"This application was denied due to Employed, YearsEmployed, CreditScore, Citizen, Debt, Industry, Ethnicity, ZipCode, PriorDefault."
0,22.5,11.0,0,0,Materials,White,3.0,1,0,0,1,ByBirth,268,0,0,"This application was approved due to Income, YearsEmployed, Industry, Citizen, Ethnicity, Debt, Age."
0,28.5,1.0,1,1,Materials,White,1.0,1,1,2,1,ByBirth,167,500,0,"This application was denied due to YearsEmployed, ZipCode, Debt, CreditScore, Age."
1,37.5,1.75,0,0,Energy,Asian,0.25,1,0,0,1,ByBirth,164,400,0,"This application was denied due to Employed, YearsEmployed, ZipCode, CreditScore, Age, Industry, Ethnicity, Debt."
1,35.25,16.5,0,0,Energy,White,4.0,1,0,0,0,ByBirth,80,0,0,"This application was approved due to Income, YearsEmployed, Citizen, Ethnicity, Debt."
1,18.67,5.0,1,1,Materials,White,0.375,1,1,2,0,ByBirth,0,38,0,"This application was approved due to ZipCode, Employed, Industry, Debt, Citizen, Ethnicity, Age, PriorDefault."
1,25.0,12.0,1,1,Financials,White,2.25,1,1,2,1,ByBirth,120,5,0,"This application was approved due to YearsEmployed, Employed, Citizen, Age, Debt, Ethnicity, PriorDefault."
1,27.83,4.0,0,0,ConsumerDiscretionary,Black,5.75,1,1,2,1,ByBirth,75,0,0,"This application was denied due to Industry, ZipCode, CreditScore, Ethnicity, PriorDefault."
1,54.83,15.5,1,1,Education,Other,0.0,1,1,20,0,ByBirth,152,130,0,"This application was denied due to Income, YearsEmployed, Industry, ZipCode, Age."
1,28.75,1.165,1,1,Financials,White,0.5,1,0,0,0,ByOtherMeans,280,0,0,"This application was denied due to Employed, YearsEmployed, Citizen, CreditScore, Age, Industry, Debt, ZipCode, PriorDefault."
0,25.0,11.0,0,0,ConsumerStaples,White,4.5,1,0,0,0,ByBirth,120,0,0,"This application was approved due to Income, YearsEmployed, Citizen, Debt, Age, Ethnicity, PriorDefault."
1,40.92,2.25,0,0,Utilities,Black,10.0,1,0,0,1,ByBirth,176,0,0,"This application was approved due to Income, YearsEmployed, Industry, Citizen."
0,19.75,0.75,1,1,Energy,White,0.795,1,1,5,1,ByBirth,140,5,0,"This application was approved due to Employed, CreditScore, Citizen, Ethnicity, Age, PriorDefault."
1,29.17,3.5,1,1,Industrials,White,3.5,1,1,3,1,ByBirth,329,0,0,"This application was denied due to CreditScore, ZipCode, Age."
0,24.5,1.04,0,0,Healthcare,Latino,0.5,1,1,3,0,ByBirth,180,147,0,"This application was denied due to Income, YearsEmployed, ZipCode, CreditScore, Debt, PriorDefault."
1,24.58,12.5,1,1,Industrials,White,0.875,1,0,0,1,ByBirth,260,0,0,"This application was denied due to Employed, ZipCode, YearsEmployed, CreditScore, PriorDefault."
0,33.75,0.75,1,1,Financials,Asian,1.0,1,1,3,1,ByBirth,212,0,0,"This application was denied due to ZipCode, YearsEmployed, Debt, Ethnicity, CreditScore, Industry, Age, PriorDefault."
1,20.67,1.25,0,0,Energy,Black,1.375,1,1,3,1,ByBirth,140,210,0,"This application was denied due to Income, ZipCode, CreditScore, Debt, Industry, Ethnicity, PriorDefault."
0,25.42,1.125,1,1,Materials,White,1.29,1,1,2,0,ByBirth,200,0,0,"This application was denied due to ZipCode, CreditScore, Debt."
1,37.75,7.0,1,1,Materials,Black,11.5,1,1,7,1,ByBirth,300,5,0,"This application was approved due to YearsEmployed, Employed, CreditScore, Industry, Debt, Citizen, PriorDefault, ZipCode."
1,52.5,6.5,1,1,Financials,White,6.29,1,1,15,0,ByBirth,0,11202,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Debt, Citizen, Ethnicity."
1,57.83,7.04,1,1,CommunicationServices,White,14.0,1,1,6,1,ByBirth,360,1332,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Debt, Ethnicity."
0,20.75,10.335,1,1,InformationTechnology,Black,0.335,1,1,1,1,ByBirth,80,50,1,"This application was approved due to Employed, Citizen, Industry, PriorDefault, Debt, Age."
1,39.92,6.21,1,1,Materials,White,0.04,1,1,1,0,ByBirth,200,300,1,"This application was approved due to Employed, Industry, Citizen, Debt, Ethnicity."
1,25.67,12.5,1,1,InformationTechnology,White,1.21,1,1,67,1,ByBirth,140,258,1,"This application was approved due to YearsEmployed, Employed, CreditScore, Citizen, Debt, Age, Industry, Ethnicity, PriorDefault."
0,24.75,12.5,1,1,ConsumerStaples,White,1.5,1,1,12,1,ByBirth,120,567,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Age, Ethnicity, Debt, PriorDefault."
0,44.17,6.665,1,1,Materials,White,7.375,1,1,3,1,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, Industry, Debt, Citizen, Ethnicity, PriorDefault."
0,23.5,9.0,1,1,Materials,White,8.5,1,1,5,1,ByBirth,120,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Industry, Citizen, Ethnicity, Debt, Age, PriorDefault."
1,34.92,5.0,1,1,Utilities,Black,7.5,1,1,6,1,ByBirth,0,1000,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Industry, Citizen, Debt, PriorDefault."
1,47.67,2.5,1,1,CommunicationServices,Asian,2.5,1,1,12,1,ByBirth,410,2510,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, ZipCode, PriorDefault."
1,22.75,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth,100,809,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Industry, Citizen, Age, Ethnicity, Debt, PriorDefault."
1,34.42,4.25,1,1,ConsumerDiscretionary,Asian,3.25,1,1,2,0,ByBirth,274,610,1,"This application was approved due to Income, Employed, YearsEmployed, Debt, Citizen."
0,28.42,3.5,1,1,Industrials,White,0.835,1,0,0,0,ByOtherMeans,280,0,1,"This application was approved due to Income, Debt, Age, Ethnicity, Industry, ZipCode."
1,67.75,5.5,1,1,Education,Other,13.0,1,1,1,1,ByBirth,0,0,1,"This application was approved due to Income, YearsEmployed, ZipCode, Employed, Debt, Citizen, Ethnicity."
1,20.42,1.835,1,1,Energy,White,2.25,1,1,1,0,ByBirth,100,150,1,"This application was approved due to YearsEmployed, Employed, Citizen, Ethnicity, Age."
0,47.42,8.0,1,1,Education,Asian,6.5,1,1,6,0,ByBirth,375,51100,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Debt, ZipCode."
1,36.25,5.0,1,1,Energy,Asian,2.5,1,1,6,0,ByBirth,0,367,1,"This application was approved due to YearsEmployed, Employed, ZipCode, CreditScore, Debt, Citizen, PriorDefault."
1,32.67,5.5,1,1,Materials,Black,5.5,1,1,12,1,ByBirth,408,1000,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Industry, Citizen, Debt, Age."
1,48.58,6.5,1,1,Materials,Black,6.0,1,0,0,1,ByBirth,350,0,1,"This application was approved due to Income, YearsEmployed, Industry, Debt, Citizen."
1,39.92,0.54,0,0,ConsumerStaples,White,0.5,1,1,3,0,ByBirth,200,1000,1,"This application was approved due to Income, Employed, Citizen, Ethnicity."
1,33.58,2.75,1,1,CommunicationServices,White,4.25,1,1,6,0,ByBirth,204,0,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Ethnicity, PriorDefault."
0,18.83,9.5,1,1,Industrials,White,1.625,1,1,6,1,ByBirth,40,600,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Ethnicity, Industry, Debt, PriorDefault, Age."
0,26.92,13.5,1,1,Materials,Black,5.0,1,1,2,0,ByBirth,0,5000,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, Industry, Age, Citizen, Debt, PriorDefault."
0,31.25,3.75,1,1,InformationTechnology,Black,0.625,1,1,9,1,ByBirth,181,0,1,"This application was approved due to Income, Employed, CreditScore, Citizen, Debt, PriorDefault, Industry."
0,56.5,16.0,1,1,Research,Latino,0.0,1,1,15,0,ByBirth,0,247,1,"This application was approved due to Employed, ZipCode, CreditScore, Industry, Citizen, Debt, Ethnicity."
1,43.0,0.29,0,0,InformationTechnology,Black,1.75,1,1,8,0,ByBirth,100,375,1,"This application was approved due to YearsEmployed, CreditScore, Employed, Citizen, Industry, PriorDefault."
1,22.33,11.0,1,1,Industrials,White,2.0,1,1,1,0,ByBirth,80,278,1,"This application was approved due to YearsEmployed, Employed, Citizen, Debt, Age, Ethnicity, Industry, PriorDefault."
1,27.25,1.665,1,1,InformationTechnology,Black,5.085,1,1,9,0,ByBirth,399,827,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Age, Industry, ZipCode."
1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth,160,2072,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, Citizen, Industry, PriorDefault."
1,23.25,1.5,1,1,Materials,White,2.375,1,1,3,1,ByBirth,0,582,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, Industry, Citizen, Ethnicity, Age."
0,40.33,7.54,0,0,Materials,Black,8.0,1,1,14,0,ByBirth,0,2300,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Industry, Citizen, Debt, PriorDefault."
0,30.5,6.5,1,1,Energy,Asian,4.0,1,1,7,1,ByBirth,0,3065,1,"This application was approved due to Income, YearsEmployed, ZipCode, Employed, CreditScore, Citizen, Debt."
0,52.83,15.0,1,1,Energy,White,5.5,1,1,14,0,ByBirth,0,2200,1,"This application was approved due to Income, YearsEmployed, Employed, ZipCode, CreditScore, Citizen, Ethnicity, Debt."
0,46.67,0.46,1,1,InformationTechnology,Black,0.415,1,1,11,1,ByBirth,440,6,1,"This application was approved due to CreditScore, Employed, Citizen, Industry, PriorDefault, ZipCode."
0,58.33,10.0,1,1,Materials,White,4.0,1,1,14,0,ByBirth,0,1602,1,"This application was approved due to Income, YearsEmployed, Employed, CreditScore, ZipCode, Industry, Citizen, Debt, Ethnicity."
